clk,period,time
2,507,274114
3,300,167306
1,999,542106
2,492,274607
3,309,167616
1,999,543106
2,507,275114
3,290,167906
1,1000,544107
2,492,275607
3,301,168208
1,999,545106
2,507,276114
3,298,168506
1,1000,546107
2,492,276607
3,300,168807
1,1000,547107
2,507,277114
3,317,169124
1,999,548106
2,492,277606
3,282,169406
1,1000,549107
2,507,278114
3,301,169708
1,999,550107
2,492,278607
3,298,170006
1,999,551107
2,507,279114
3,300,170306
1,999,552106
2,492,279606
3,309,170616
1,1000,553107
2,507,280114
3,290,170906
1,999,554107
2,492,280607
3,301,171208
1,1000,555107
2,507,281114
3,298,171506
1,999,556106
2,492,281607
3,300,171807
1,999,557106
2,507,282114
3,316,172124
1,1000,558107
2,492,282606
3,282,172406
1,1000,559107
2,507,283114
3,301,172708
1,999,560107
2,492,283607
3,298,173006
1,999,561106
2,507,284114
3,299,173306
1,1000,562106
2,492,284607
3,309,173616
1,1000,563106
2,507,285114
3,290,173906
1,1000,564106
2,492,285607
3,301,174208
1,1000,565106
2,507,286114
3,298,174506
1,999,566106
2,492,286607
3,300,174807
1,1000,567106
2,507,287114
3,317,175124
1,1000,568107
2,492,287607
3,282,175406
1,999,569106
2,507,288114
3,301,175708
1,1000,570107
2,492,288607
3,298,176006
1,999,571107
2,507,289114
3,300,176306
1,999,572106
2,492,289607
3,309,176616
1,1000,573107
2,507,290114
3,290,176906
1,999,574107
2,492,290607
3,301,177208
1,999,575107
2,507,291114
3,298,177506
1,999,576106
2,492,291607
3,300,177807
1,1000,577106
2,507,292114
3,316,178124
1,1000,578107
2,492,292607
3,282,178406
1,1000,579107
2,507,293114
3,301,178708
1,999,580107
2,492,293607
3,298,179006
1,999,581106
2,507,294114
3,300,179306
1,1000,582106
2,492,294607
3,309,179616
1,1000,583107
2,507,295114
3,290,179906
1,999,584106
2,492,295607
3,301,180208
1,1000,585106
2,507,296114
3,298,180506
1,1000,586107
2,492,296607
3,300,180807
1,999,587106
2,507,297114
3,317,181124
1,1000,588107
2,492,297606
3,282,181406
1,999,589107
2,507,298114
3,301,181708
1,1000,590107
2,492,298606
3,298,182006
1,999,591106
2,507,299114
3,300,182306
1,1000,592107
2,492,299607
3,309,182616
1,999,593107
2,507,300114
3,290,182906
1,999,594107
2,492,300606
3,301,183208
1,1000,595107
2,507,301114
3,298,183506
1,999,596106
2,492,301607
3,300,183806
1,999,597106
2,507,302114
3,317,184124
1,1000,598107
2,492,302607
3,282,184406
1,1000,599107
2,507,303114
3,301,184708
1,999,600107
2,492,303607
3,298,185006
1,999,601106
2,507,304114
3,300,185307
1,1000,602107
2,492,304607
3,309,185616
1,1000,603107
2,507,305114
3,290,185906
1,1000,604107
2,492,305607
3,301,186208
1,999,605106
2,507,306114
3,298,186506
1,1000,606106
2,492,306607
3,300,186806
1,1000,607107
2,507,307114
3,317,187123
1,999,608106
2,492,307607
3,282,187406
1,1000,609107
2,507,308114
3,301,187708
1,999,610106
2,492,308607
3,298,188006
1,1000,611106
2,507,309114
3,300,188306
1,1000,612107
2,492,309606
3,309,188616
1,1000,613107
2,507,310114
3,290,188906
1,999,614107
2,492,310607
3,301,189208
1,1000,615107
2,507,311114
3,298,189506
1,999,616106
2,492,311607
3,300,189807
1,1000,617107
2,507,312114
3,316,190123
1,999,618107
2,492,312606
3,282,190406
1,1000,619107
2,507,313114
3,301,190708
1,999,620106
2,492,313607
3,298,191006
1,1000,621107
2,507,314114
3,299,191306
1,999,622107
2,492,314606
3,309,191616
1,999,623107
2,507,315114
3,290,191906
1,999,624106
2,492,315607
3,301,192208
1,999,625106
2,507,316114
3,298,192506
1,1000,626107
2,492,316606
3,300,192807
1,1000,627107
2,507,317114
3,317,193124
1,999,628107
2,492,317607
3,282,193406
1,999,629107
2,507,318114
3,301,193708
1,999,630106
2,492,318606
3,298,194006
1,1000,631107
2,507,319114
3,300,194306
1,1000,632107
2,492,319607
3,309,194616
1,1000,633107
2,507,320114
3,290,194906
1,999,634106
2,492,320607
3,301,195208
1,1000,635106
2,507,321114
3,298,195506
1,1000,636107
2,492,321606
3,300,195807
1,1000,637107
2,507,322114
3,317,196124
1,999,638106
2,492,322607
3,282,196406
1,1000,639107
2,507,323114
3,301,196708
1,999,640106
2,492,323607
3,298,197006
1,1000,641106
2,507,324114
3,300,197306
1,1000,642107
2,492,324606
3,309,197616
1,1000,643107
2,507,325114
3,290,197906
1,999,644106
2,492,325607
3,301,198208
1,1000,645107
2,507,326114
3,298,198506
1,1000,646107
2,492,326606
3,300,198807
1,999,647106
2,507,327114
3,316,199124
1,1000,648107
2,492,327607
3,282,199406
1,999,649106
2,507,328114
3,301,199708
1,1000,650106
2,492,328607
